raw_text,ward_id,submission_channel,city,has_image,image_description,normalized_text,issue_summary,inferred_language,primary_domain,sub_domain,issue_type,severity_level,public_safety_flag,vulnerable_population_flag,classification_reasoning,confidence,is_edge_case,is_noisy
"Garbage stuffed in the drain, no water flow at all.",141,Mobile App,Chennai,False,,The storm drain in Jaladampet is blocked causing the road to flood during every rainfall.,A clogged storm drain in Jaladampet is causing the road to flood during every rain event. The drain has not been cleared in months.,English,Core Infrastructure & Public Works,Drainage/Sewerage,blockage,5,False,False,Drain blockage causing repeated flooding is a core infrastructure maintenance failure.,0.87,False,False
check image pothole very deep,8,Mobile App,Chennai,False,,A road or pothole issue has been reported.,"A road collapse has been reported in Thiruvottiyur West following heavy rain, creating a large sinkhole. All traffic is blocked and the area poses immediate danger to commuters.",English,Core Infrastructure & Public Works,Roads,road_collapse,8,True,False,Road collapse with sinkhole poses immediate physical danger to commuters.,0.74,False,True
plsss fix the road near my house it is very bad,44,Web App,Chennai,False,,A road or pothole issue has been reported.,An abandoned building in Perambur North is visibly deteriorating with cracks and falling debris. The structure could collapse at any time.,English,Urban Planning & Real Estate,Construction,unsafe_structure,8,True,False,Imminent collapse of a structure near inhabited areas is a life-threatening emergency.,0.76,False,True
See image of empty medicine dispensary counter.,195,Citizen Kiosk,Chennai,True,Photo of a long queue of patients outside a government hospital entrance.,The government hospital in Kelambakkam is severely understaffed and running out of essential medicines.,The government hospital in Kelambakkam has been operating without adequate doctors and medicines. Patients are waiting for hours.,English,Social Infrastructure & Public Health,Healthcare,hospital_service_failure,8,False,True,Hospital running without doctors and medicines endangers patients.,0.98,False,False
Air quality very poor in Perambur West due to continuous smoke.,73,Web App,Chennai,False,,Open garbage burning near Perambur West is causing severe air pollution affecting residents.,"Garbage is being openly burned near Perambur West, filling the area with smoke. Children with respiratory conditions are particularly affected.",English,"Sanitation, Environment & Parks",Environment,air_pollution,6,False,False,Open burning causing respiratory distress is an environmental and public health violation.,0.92,False,False
बाढ़ की फोटो भेज रहा हूं।,53,Voice Hotline,Chennai,True,Photo of a residential street with knee-deep flood water after heavy rain.,Severe flooding in George Town has submerged roads and homes leaving residents stranded.,Flash flooding in George Town has inundated roads and ground floor homes. Residents are stranded with electricity poles submerged in water.,Hindi,"Emergency, Safety & Accountability",Emergency,flooding,9,True,False,Flooding submerging homes and electricity infrastructure is a life-threatening emergency.,0.96,False,False
"We are stranded at home, entire Besant Nagar area flooded.",174,Mobile App,Chennai,False,,Severe flooding in Besant Nagar has submerged roads and homes leaving residents stranded.,Flash flooding in Besant Nagar has inundated roads and ground floor homes. Residents are stranded with electricity poles submerged in water.,English,"Emergency, Safety & Accountability",Emergency,flooding,9,True,False,Flooding submerging homes and electricity infrastructure is a life-threatening emergency.,0.97,False,False
"Road surface has caved in near Ernavoor, sewer collapse confirmed.",5,Mobile App,Chennai,False,,A sewer pipe has collapsed beneath the road in Ernavoor causing a sinkhole and road subsidence.,Road subsidence in Ernavoor is being caused by a collapsed underground sewer pipe. The area needs immediate emergency repair.,English,Core Infrastructure & Public Works,Drainage/Sewerage,sewer_collapse,9,True,False,Sewer collapse causing road sinkhole is an immediate structural and safety emergency.,0.96,False,False
तीन दिन से पानी नहीं,200,Voice Hotline,Chennai,False,,A water supply or leakage issue has been reported.,Illegal and double parking near Sholinganallur East is blocking a full lane of traffic. Emergency vehicles are unable to pass.,Hindi,Transportation & Traffic,Parking,illegal_parking,4,False,False,Illegal parking blocking emergency vehicle access is a traffic enforcement failure.,0.8,False,True
குப்பை காரணமாக எலிகள் பெருகிவிட்டன.,20,Citizen Kiosk,Chennai,False,,A severe rodent infestation in Kavankarai linked to garbage accumulation is biting children.,Uncollected garbage in Kavankarai has led to a severe rat infestation. Rats are biting children and entering homes.,Tamil,"Sanitation, Environment & Parks",Vector Control,rodent_infestation,6,False,False,Rodent infestation indicates a sanitation-driven disease transmission risk.,0.97,False,False
