raw_text,normalized_text,issue_summary,primary_domain,issue_type,severity_level,public_safety_flag,vulnerable_population_flag,inferred_language,submission_channel,city,ward_id,has_image,image_description,confidence,is_edge_case,is_noisy,clip_prompt
"Garbage stuffed in the drain, no water flow at all.",The storm drain in Jaladampet is blocked causing the road to flood during every rainfall.,A clogged storm drain in Jaladampet is causing the road to flood during every rain event. The drain has not been cleared in months.,Core Infrastructure & Public Works,drainage_sewage,5,0,False,English,Mobile App,Chennai,141,False,,0.87,False,False,"A photo showing drainage sewage, a civic issue, or broken public infrastructure."
check image pothole very deep,A road or pothole issue has been reported.,"A road collapse has been reported in Thiruvottiyur West following heavy rain, creating a large sinkhole. All traffic is blocked and the area poses immediate danger to commuters.",Core Infrastructure & Public Works,road_damage,8,1,False,English,Mobile App,Chennai,8,False,,0.74,False,True,"A photo showing road damage, a civic issue, or broken public infrastructure."
plsss fix the road near my house it is very bad,A road or pothole issue has been reported.,An abandoned building in Perambur North is visibly deteriorating with cracks and falling debris. The structure could collapse at any time.,Urban Planning & Real Estate,unsafe_structure,8,1,False,English,Web App,Chennai,44,False,,0.76,False,True,"A photo showing unsafe structure, a civic issue, or broken public infrastructure."
See image of empty medicine dispensary counter.,The government hospital in Kelambakkam is severely understaffed and running out of essential medicines.,The government hospital in Kelambakkam has been operating without adequate doctors and medicines. Patients are waiting for hours.,Social Infrastructure & Public Health,public_health_service,8,0,True,English,Citizen Kiosk,Chennai,195,True,Photo of a long queue of patients outside a government hospital entrance.,0.98,False,False,"A photo showing public health service, a civic issue, or broken public infrastructure."
Air quality very poor in Perambur West due to continuous smoke.,Open garbage burning near Perambur West is causing severe air pollution affecting residents.,"Garbage is being openly burned near Perambur West, filling the area with smoke. Children with respiratory conditions are particularly affected.","Sanitation, Environment & Parks",environmental_pollution,6,0,False,English,Web App,Chennai,73,False,,0.92,False,False,"A photo showing environmental pollution, a civic issue, or broken public infrastructure."
बाढ़ की फोटो भेज रहा हूं।,Severe flooding in George Town has submerged roads and homes leaving residents stranded.,Flash flooding in George Town has inundated roads and ground floor homes. Residents are stranded with electricity poles submerged in water.,"Emergency, Safety & Accountability",flooding,9,1,False,Hindi,Voice Hotline,Chennai,53,True,Photo of a residential street with knee-deep flood water after heavy rain.,0.96,False,False,"A photo showing flooding, a civic issue, or broken public infrastructure."
"We are stranded at home, entire Besant Nagar area flooded.",Severe flooding in Besant Nagar has submerged roads and homes leaving residents stranded.,Flash flooding in Besant Nagar has inundated roads and ground floor homes. Residents are stranded with electricity poles submerged in water.,"Emergency, Safety & Accountability",flooding,9,1,False,English,Mobile App,Chennai,174,False,,0.97,False,False,"A photo showing flooding, a civic issue, or broken public infrastructure."
"Road surface has caved in near Ernavoor, sewer collapse confirmed.",A sewer pipe has collapsed beneath the road in Ernavoor causing a sinkhole and road subsidence.,Road subsidence in Ernavoor is being caused by a collapsed underground sewer pipe. The area needs immediate emergency repair.,Core Infrastructure & Public Works,drainage_sewage,9,1,False,English,Mobile App,Chennai,5,False,,0.96,False,False,"A photo showing drainage sewage, a civic issue, or broken public infrastructure."
तीन दिन से पानी नहीं,A water supply or leakage issue has been reported.,Illegal and double parking near Sholinganallur East is blocking a full lane of traffic. Emergency vehicles are unable to pass.,Transportation & Traffic,parking_violation,4,0,False,Hindi,Voice Hotline,Chennai,200,False,,0.8,False,True,"A photo showing parking violation, a civic issue, or broken public infrastructure."
குப்பை காரணமாக எலிகள் பெருகிவிட்டன.,A severe rodent infestation in Kavankarai linked to garbage accumulation is biting children.,Uncollected garbage in Kavankarai has led to a severe rat infestation. Rats are biting children and entering homes.,"Sanitation, Environment & Parks",vector_pest_control,6,0,False,Tamil,Citizen Kiosk,Chennai,20,False,,0.97,False,False,"A photo showing vector pest control, a civic issue, or broken public infrastructure."
